income_sources_exit,ao_youth_with_disabling_condition,ao_youth_without_disabling_condition,ao_total_youth,ao_percent_with_disabling_condition_by_source,ac_youth_with_disabling_condition,ac_youth_without_disabling_condition,ac_total_youth,ac_percent_with_disabling_condition_by_source,co_youth_with_disabling_condition,co_youth_without_disabling_condition,co_total_youth,co_percent_with_disabling_condition_by_source,uk_youth_with_disabling_condition,uk_youth_without_disabling_condition,uk_total_youth,uk_percent_with_disabling_condition_by_source,population,start_date,end_date,question
Temporary Assistance for Needy Families (TANF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2021-07-01,2021-07-31,Q27i
Retirement Income from Social Security,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2021-07-01,2021-07-31,Q27i
Pension or retirement income from a former job,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2021-07-01,2021-07-31,Q27i
Child Support,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2021-07-01,2021-07-31,Q27i
Other source,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2021-07-01,2021-07-31,Q27i
No Sources,1,1,2,0.5,0,2,2,0,0,0,0,0,0,0,0,0,youth,2021-07-01,2021-07-31,Q27i
Unduplicated Total Youth,1,1,2,NA,0,2,2,NA,0,0,0,NA,0,0,0,NA,youth,2021-07-01,2021-07-31,Q27i
Earned Income,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2021-08-01,2021-08-31,Q27i
Supplemental Security Income (SSI),2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,youth,2021-08-01,2021-08-31,Q27i
Social Security Disability Insurance (SSDI),1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,youth,2021-08-01,2021-08-31,Q27i
VA Service-Connected Disability Compensation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2021-08-01,2021-08-31,Q27i
Private Disability Insurance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2021-08-01,2021-08-31,Q27i
Worker's Compensation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2021-08-01,2021-08-31,Q27i
Temporary Assistance for Needy Families (TANF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2021-08-01,2021-08-31,Q27i
Retirement Income from Social Security,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2021-08-01,2021-08-31,Q27i
Pension or retirement income from a former job,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2021-08-01,2021-08-31,Q27i
Child Support,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2021-08-01,2021-08-31,Q27i
Other source,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2021-08-01,2021-08-31,Q27i
No Sources,0,2,2,0,1,4,5,0.2,0,0,0,0,0,0,0,0,youth,2021-08-01,2021-08-31,Q27i
Unduplicated Total Youth,2,3,5,NA,1,4,5,NA,0,0,0,NA,0,0,0,NA,youth,2021-08-01,2021-08-31,Q27i
Earned Income,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2021-09-01,2021-09-30,Q27i
Supplemental Security Income (SSI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2021-09-01,2021-09-30,Q27i
Social Security Disability Insurance (SSDI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2021-09-01,2021-09-30,Q27i
VA Service-Connected Disability Compensation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2021-09-01,2021-09-30,Q27i
Private Disability Insurance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2021-09-01,2021-09-30,Q27i
Worker's Compensation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2021-09-01,2021-09-30,Q27i
Temporary Assistance for Needy Families (TANF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2021-09-01,2021-09-30,Q27i
Retirement Income from Social Security,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2021-09-01,2021-09-30,Q27i
Pension or retirement income from a former job,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2021-09-01,2021-09-30,Q27i
Child Support,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2021-09-01,2021-09-30,Q27i
Other source,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2021-09-01,2021-09-30,Q27i
No Sources,1,6,7,0.14,0,2,2,0,0,0,0,0,0,0,0,0,youth,2021-09-01,2021-09-30,Q27i
Unduplicated Total Youth,1,7,8,NA,0,2,2,NA,0,0,0,NA,0,0,0,NA,youth,2021-09-01,2021-09-30,Q27i
Earned Income,1,2,3,0.33,1,0,1,1,0,0,0,0,0,0,0,0,youth,2021-10-01,2021-10-31,Q27i
Supplemental Security Income (SSI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2021-10-01,2021-10-31,Q27i
Social Security Disability Insurance (SSDI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2021-10-01,2021-10-31,Q27i
VA Service-Connected Disability Compensation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2021-10-01,2021-10-31,Q27i
Private Disability Insurance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2021-10-01,2021-10-31,Q27i
Worker's Compensation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2021-10-01,2021-10-31,Q27i
Temporary Assistance for Needy Families (TANF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2021-10-01,2021-10-31,Q27i
Retirement Income from Social Security,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2021-10-01,2021-10-31,Q27i
Pension or retirement income from a former job,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2021-10-01,2021-10-31,Q27i
Child Support,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2021-10-01,2021-10-31,Q27i
Other source,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2021-10-01,2021-10-31,Q27i
No Sources,2,2,4,0.5,0,5,5,0,0,0,0,0,0,0,0,0,youth,2021-10-01,2021-10-31,Q27i
Unduplicated Total Youth,3,4,7,NA,1,5,6,NA,0,0,0,NA,0,0,0,NA,youth,2021-10-01,2021-10-31,Q27i
Earned Income,0,2,2,0,1,0,1,1,0,0,0,0,0,0,0,0,youth,2021-11-01,2021-11-30,Q27i
Supplemental Security Income (SSI),1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,youth,2021-11-01,2021-11-30,Q27i
Social Security Disability Insurance (SSDI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2021-11-01,2021-11-30,Q27i
VA Service-Connected Disability Compensation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2021-11-01,2021-11-30,Q27i
Private Disability Insurance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2021-11-01,2021-11-30,Q27i
Worker's Compensation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2021-11-01,2021-11-30,Q27i
Temporary Assistance for Needy Families (TANF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2021-11-01,2021-11-30,Q27i
Retirement Income from Social Security,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2021-11-01,2021-11-30,Q27i
Pension or retirement income from a former job,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2021-11-01,2021-11-30,Q27i
Child Support,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2021-11-01,2021-11-30,Q27i
Other source,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,youth,2021-11-01,2021-11-30,Q27i
No Sources,3,4,7,0.43,0,1,1,0,0,0,0,0,0,0,0,0,youth,2021-11-01,2021-11-30,Q27i
Unduplicated Total Youth,5,6,11,NA,1,1,2,NA,0,0,0,NA,0,0,0,NA,youth,2021-11-01,2021-11-30,Q27i
Earned Income,0,1,1,0,0,2,2,0,0,0,0,0,0,0,0,0,youth,2021-12-01,2021-12-31,Q27i
Supplemental Security Income (SSI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2021-12-01,2021-12-31,Q27i
Social Security Disability Insurance (SSDI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2021-12-01,2021-12-31,Q27i
VA Service-Connected Disability Compensation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2021-12-01,2021-12-31,Q27i
Private Disability Insurance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2021-12-01,2021-12-31,Q27i
Worker's Compensation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2021-12-01,2021-12-31,Q27i
Temporary Assistance for Needy Families (TANF),0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,youth,2021-12-01,2021-12-31,Q27i
Retirement Income from Social Security,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2021-12-01,2021-12-31,Q27i
Pension or retirement income from a former job,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2021-12-01,2021-12-31,Q27i
Child Support,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2021-12-01,2021-12-31,Q27i
Other source,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2021-12-01,2021-12-31,Q27i
No Sources,0,5,5,0,0,1,1,0,0,0,0,0,0,0,0,0,youth,2021-12-01,2021-12-31,Q27i
Unduplicated Total Youth,0,6,6,NA,0,3,3,NA,0,0,0,NA,0,0,0,NA,youth,2021-12-01,2021-12-31,Q27i
Earned Income,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2022-01-01,2022-01-31,Q27i
Supplemental Security Income (SSI),1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,youth,2022-01-01,2022-01-31,Q27i
Social Security Disability Insurance (SSDI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2022-01-01,2022-01-31,Q27i
VA Service-Connected Disability Compensation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2022-01-01,2022-01-31,Q27i
Private Disability Insurance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2022-01-01,2022-01-31,Q27i
Worker's Compensation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2022-01-01,2022-01-31,Q27i
Temporary Assistance for Needy Families (TANF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2022-01-01,2022-01-31,Q27i
Retirement Income from Social Security,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2022-01-01,2022-01-31,Q27i
Pension or retirement income from a former job,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2022-01-01,2022-01-31,Q27i
Child Support,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2022-01-01,2022-01-31,Q27i
Other source,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2022-01-01,2022-01-31,Q27i
No Sources,2,1,3,0.67,0,0,0,0,0,0,0,0,0,0,0,0,youth,2022-01-01,2022-01-31,Q27i
Unduplicated Total Youth,3,2,5,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,youth,2022-01-01,2022-01-31,Q27i
Earned Income,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,youth,2022-02-01,2022-02-28,Q27i
Supplemental Security Income (SSI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2022-02-01,2022-02-28,Q27i
Social Security Disability Insurance (SSDI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2022-02-01,2022-02-28,Q27i
VA Service-Connected Disability Compensation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2022-02-01,2022-02-28,Q27i
Private Disability Insurance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2022-02-01,2022-02-28,Q27i
Worker's Compensation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2022-02-01,2022-02-28,Q27i
Temporary Assistance for Needy Families (TANF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2022-02-01,2022-02-28,Q27i
Retirement Income from Social Security,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2022-02-01,2022-02-28,Q27i
Pension or retirement income from a former job,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2022-02-01,2022-02-28,Q27i
Child Support,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2022-02-01,2022-02-28,Q27i
Other source,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2022-02-01,2022-02-28,Q27i
No Sources,0,2,2,0,0,1,1,0,0,0,0,0,0,0,0,0,youth,2022-02-01,2022-02-28,Q27i
Unduplicated Total Youth,0,2,2,NA,0,3,3,NA,0,0,0,NA,0,0,0,NA,youth,2022-02-01,2022-02-28,Q27i
Earned Income,0,2,2,0,0,3,3,0,0,0,0,0,0,0,0,0,youth,2022-03-01,2022-03-31,Q27i
Supplemental Security Income (SSI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2022-03-01,2022-03-31,Q27i
Social Security Disability Insurance (SSDI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2022-03-01,2022-03-31,Q27i
VA Service-Connected Disability Compensation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2022-03-01,2022-03-31,Q27i
Private Disability Insurance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2022-03-01,2022-03-31,Q27i
Worker's Compensation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2022-03-01,2022-03-31,Q27i
Temporary Assistance for Needy Families (TANF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2022-03-01,2022-03-31,Q27i
Retirement Income from Social Security,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2022-03-01,2022-03-31,Q27i
Pension or retirement income from a former job,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2022-03-01,2022-03-31,Q27i
Child Support,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2022-03-01,2022-03-31,Q27i
Other source,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2022-03-01,2022-03-31,Q27i
No Sources,0,4,4,0,0,3,3,0,0,0,0,0,0,0,0,0,youth,2022-03-01,2022-03-31,Q27i
Unduplicated Total Youth,0,6,6,NA,0,6,6,NA,0,0,0,NA,0,0,0,NA,youth,2022-03-01,2022-03-31,Q27i
Earned Income,2,2,4,0.5,0,1,1,0,0,0,0,0,0,0,0,0,youth,2022-04-01,2022-04-30,Q27i
Supplemental Security Income (SSI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2022-04-01,2022-04-30,Q27i
Social Security Disability Insurance (SSDI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2022-04-01,2022-04-30,Q27i
VA Service-Connected Disability Compensation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2022-04-01,2022-04-30,Q27i
Private Disability Insurance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2022-04-01,2022-04-30,Q27i
Worker's Compensation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2022-04-01,2022-04-30,Q27i
Temporary Assistance for Needy Families (TANF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2022-04-01,2022-04-30,Q27i
Retirement Income from Social Security,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2022-04-01,2022-04-30,Q27i
Pension or retirement income from a former job,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2022-04-01,2022-04-30,Q27i
Child Support,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2022-04-01,2022-04-30,Q27i
Other source,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2022-04-01,2022-04-30,Q27i
No Sources,3,1,4,0.75,0,0,0,0,0,0,0,0,0,0,0,0,youth,2022-04-01,2022-04-30,Q27i
Unduplicated Total Youth,5,3,8,NA,0,1,1,NA,0,0,0,NA,0,0,0,NA,youth,2022-04-01,2022-04-30,Q27i
Earned Income,1,2,3,0.33,0,0,0,0,0,0,0,0,0,0,0,0,youth,2022-05-01,2022-05-31,Q27i
Supplemental Security Income (SSI),1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,youth,2022-05-01,2022-05-31,Q27i
Social Security Disability Insurance (SSDI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2022-05-01,2022-05-31,Q27i
VA Service-Connected Disability Compensation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2022-05-01,2022-05-31,Q27i
Private Disability Insurance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2022-05-01,2022-05-31,Q27i
Worker's Compensation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2022-05-01,2022-05-31,Q27i
Temporary Assistance for Needy Families (TANF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2022-05-01,2022-05-31,Q27i
Retirement Income from Social Security,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2022-05-01,2022-05-31,Q27i
Pension or retirement income from a former job,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2022-05-01,2022-05-31,Q27i
Child Support,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2022-05-01,2022-05-31,Q27i
Other source,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2022-05-01,2022-05-31,Q27i
No Sources,1,1,2,0.5,0,2,2,0,0,0,0,0,0,0,0,0,youth,2022-05-01,2022-05-31,Q27i
Unduplicated Total Youth,3,3,6,NA,0,2,2,NA,0,0,0,NA,0,0,0,NA,youth,2022-05-01,2022-05-31,Q27i
Earned Income,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2022-06-01,2022-06-30,Q27i
Supplemental Security Income (SSI),1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,youth,2022-06-01,2022-06-30,Q27i
Social Security Disability Insurance (SSDI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2022-06-01,2022-06-30,Q27i
VA Service-Connected Disability Compensation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2022-06-01,2022-06-30,Q27i
Private Disability Insurance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2022-06-01,2022-06-30,Q27i
Worker's Compensation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2022-06-01,2022-06-30,Q27i
Temporary Assistance for Needy Families (TANF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2022-06-01,2022-06-30,Q27i
Retirement Income from Social Security,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2022-06-01,2022-06-30,Q27i
Pension or retirement income from a former job,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2022-06-01,2022-06-30,Q27i
Child Support,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2022-06-01,2022-06-30,Q27i
Other source,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2022-06-01,2022-06-30,Q27i
No Sources,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2022-06-01,2022-06-30,Q27i
Unduplicated Total Youth,1,6,7,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,youth,2022-06-01,2022-06-30,Q27i
Earned Income,1,3,4,0.25,0,1,1,0,0,0,0,0,0,0,0,0,youth,2022-07-01,2022-07-31,Q27i
Supplemental Security Income (SSI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2022-07-01,2022-07-31,Q27i
Social Security Disability Insurance (SSDI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2022-07-01,2022-07-31,Q27i
VA Service-Connected Disability Compensation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2022-07-01,2022-07-31,Q27i
Private Disability Insurance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2022-07-01,2022-07-31,Q27i
Worker's Compensation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2022-07-01,2022-07-31,Q27i
Temporary Assistance for Needy Families (TANF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2022-07-01,2022-07-31,Q27i
Retirement Income from Social Security,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2022-07-01,2022-07-31,Q27i
Pension or retirement income from a former job,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2022-07-01,2022-07-31,Q27i
Child Support,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2022-07-01,2022-07-31,Q27i
Other source,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2022-07-01,2022-07-31,Q27i
No Sources,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,youth,2022-07-01,2022-07-31,Q27i
Unduplicated Total Youth,1,3,4,NA,0,4,4,NA,0,0,0,NA,0,0,0,NA,youth,2022-07-01,2022-07-31,Q27i
Earned Income,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2022-08-01,2022-08-31,Q27i
Supplemental Security Income (SSI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2022-08-01,2022-08-31,Q27i
Social Security Disability Insurance (SSDI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2022-08-01,2022-08-31,Q27i
VA Service-Connected Disability Compensation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2022-08-01,2022-08-31,Q27i
Private Disability Insurance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2022-08-01,2022-08-31,Q27i
Worker's Compensation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2022-08-01,2022-08-31,Q27i
Temporary Assistance for Needy Families (TANF),0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,youth,2022-08-01,2022-08-31,Q27i
Retirement Income from Social Security,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2022-08-01,2022-08-31,Q27i
Pension or retirement income from a former job,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2022-08-01,2022-08-31,Q27i
Child Support,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2022-08-01,2022-08-31,Q27i
Other source,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,youth,2022-08-01,2022-08-31,Q27i
No Sources,1,2,3,0.33,0,1,1,0,0,0,0,0,0,0,0,0,youth,2022-08-01,2022-08-31,Q27i
Unduplicated Total Youth,1,3,4,NA,0,2,2,NA,0,0,0,NA,0,0,0,NA,youth,2022-08-01,2022-08-31,Q27i
